output,input,group,count
black_carpet,black_wool,carpet,4
blue_carpet,blue_wool,carpet,4
brown_carpet,brown_wool,carpet,4
cyan_carpet,cyan_wool,carpet,4
gray_carpet,gray_wool,carpet,4
green_carpet,green_wool,carpet,4
light_blue_carpet,light_blue_wool,carpet,4
light_gray_carpet,light_gray_wool,carpet,4
lime_carpet,lime_wool,carpet,4
magenta_carpet,magenta_wool,carpet,4
orange_carpet,orange_wool,carpet,4
pink_carpet,pink_wool,carpet,4
purple_carpet,purple_wool,carpet,4
red_carpet,red_wool,carpet,4
white_carpet,white_wool,carpet,4
yellow_carpet,yellow_wool,carpet,4
moss_carpet,moss_block,moss_carpet,4
