output,input,group,count
oak_stairs,oak_planks,wooden_stairs,6
spruce_stairs,spruce_planks,wooden_stairs,6
birch_stairs,birch_planks,wooden_stairs,6
jungle_stairs,jungle_planks,wooden_stairs,6
acacia_stairs,acacia_planks,wooden_stairs,6
dark_oak_stairs,dark_oak_planks,wooden_stairs,6
mangrove_stairs,mangrove_planks,wooden_stairs,6
cherry_stairs,cherry_planks,wooden_stairs,6
crimson_stairs,crimson_planks,wooden_stairs,6
warped_stairs,warped_planks,wooden_stairs,6
bamboo_stairs,bamboo_planks,wooden_stairs,6
bamboo_mosaic_stairs,bamboo_mosaic,bamboo_mosaic_stairs,6
stone_stairs,stone,stone_stairs,6
cobblestone_stairs,cobblestone,cobblestone_stairs,6
mossy_cobblestone_stairs,mossy_cobblestone,mossy_cobblestone_stairs,6
stone_brick_stairs,stone_bricks,stone_brick_stairs,6
mossy_stone_brick_stairs,mossy_stone_bricks,mossy_stone_brick_stairs,6
granite_stairs,granite,granite_stairs,6
polished_granite_stairs,polished_granite,polished_granite_stairs,6
diorite_stairs,diorite,diorite_stairs,6
polished_diorite_stairs,polished_diorite,polished_diorite_stairs,6
andesite_stairs,andesite,andesite_stairs,6
polished_andesite_stairs,polished_andesite,polished_andesite_stairs,6
cobbled_deepslate_stairs,cobbled_deepslate,cobbled_deepslate_stairs,6
polished_deepslate_stairs,polished_deepslate,polished_deepslate_stairs,6
deepslate_brick_stairs,deepslate_bricks,deepslate_brick_stairs,6
deepslate_tile_stairs,deepslate_tiles,deepslate_tile_stairs,6
tuff_stairs,tuff,tuff_stairs,6
polished_tuff_stairs,polished_tuff,polished_tuff_stairs,6
tuff_brick_stairs,tuff_bricks,tuff_brick_stairs,6
brick_stairs,bricks,brick_stairs,6
mud_brick_stairs,mud_bricks,mud_brick_stairs,6
sandstone_stairs,sandstone,sandstone_stairs,6
smooth_sandstone_stairs,smooth_sandstone,smooth_sandstone_stairs,6
red_sandstone_stairs,red_sandstone,red_sandstone_stairs,6
smooth_red_sandstone_stairs,smooth_red_sandstone,smooth_red_sandstone_stairs,6
prismarine_stairs,prismarine,prismarine_stairs,6
prismarine_brick_stairs,prismarine_bricks,prismarine_brick_stairs,6
dark_prismarine_stairs,dark_prismarine,dark_prismarine_stairs,6
nether_brick_stairs,nether_bricks,nether_brick_stairs,6
red_nether_brick_stairs,red_nether_bricks,red_nether_brick_stairs,6
blackstone_stairs,blackstone,blackstone_stairs,6
polished_blackstone_stairs,polished_blackstone,polished_blackstone_stairs,6
polished_blackstone_brick_stairs,polished_blackstone_bricks,polished_blackstone_brick_stairs,6
end_stone_brick_stairs,end_stone_bricks,end_stone_brick_stairs,6
purpur_stairs,purpur_block,purpur_stairs,6
quartz_stairs,quartz_block,quartz_stairs,6
smooth_quartz_stairs,smooth_quartz,smooth_quartz_stairs,6
cut_copper_stairs,cut_copper,cut_copper_stairs,6
exposed_cut_copper_stairs,exposed_cut_copper,exposed_cut_copper_stairs,6
weathered_cut_copper_stairs,weathered_cut_copper,weathered_cut_copper_stairs,6
oxidized_cut_copper_stairs,oxidized_cut_copper,oxidized_cut_copper_stairs,6
waxed_cut_copper_stairs,waxed_cut_copper,waxed_cut_copper_stairs,6
waxed_exposed_cut_copper_stairs,waxed_exposed_cut_copper,waxed_exposed_cut_copper_stairs,6
waxed_weathered_cut_copper_stairs,waxed_weathered_cut_copper,waxed_weathered_cut_copper_stairs,6
waxed_oxidized_cut_copper_stairs,waxed_oxidized_cut_copper,waxed_oxidized_cut_copper_stairs,6
