output,input,group,count
oak_trapdoor,oak_planks,wooden_trapdoor,4
spruce_trapdoor,spruce_planks,wooden_trapdoor,4
birch_trapdoor,birch_planks,wooden_trapdoor,4
jungle_trapdoor,jungle_planks,wooden_trapdoor,4
acacia_trapdoor,acacia_planks,wooden_trapdoor,4
dark_oak_trapdoor,dark_planks,wooden_trapdoor,4
mangrove_trapdoor,mangrove_planks,wooden_trapdoor,4
cherry_trapdoor,cherry_planks,wooden_trapdoor,4
bamboo_trapdoor,bamboo_planks,wooden_trapdoor,4
crimson_trapdoor,crimson_planks,wooden_trapdoor,4
warped_trapdoor,warped_planks,wooden_trapdoor,4
iron_trapdoor,iron_ingot,iron_trapdoor,2
copper_trapdoor,copper_block,copper_trapdoor,4
exposed_copper_trapdoor,exposed_copper,exposed_copper_trapdoor,4
weathered_copper_trapdoor,weathered_copper,weathered_copper_trapdoor,4
oxidized_copper_trapdoor,oxidized_copper,oxidized_copper_trapdoor,4
waxed_copper_trapdoor,waxed_copper_block,waxed_copper_trapdoor,4
waxed_exposed_copper_trapdoor,waxed_exposed_copper,waxed_exposed_copper_trapdoor,4
waxed_weathered_copper_trapdoor,waxed_weathered_copper,waxed_weathered_copper_trapdoor,4
waxed_oxidized_copper_trapdoor,waxed_oxidized_copper,waxed_oxidized_copper_trapdoor,4
