id,group
oak_planks,oak_planks
oak_slab,oak_planks
oak_stairs,oak_planks
spruce_planks,spruce_planks
spruce_slab,spruce_planks
spruce_stairs,spruce_planks
birch_planks,birch_planks
birch_slab,birch_planks
birch_stairs,birch_planks
jungle_planks,jungle_planks
jungle_slab,jungle_planks
jungle_stairs,jungle_planks
acacia_planks,acacia_planks
acacia_slab,acacia_planks
acacia_stairs,acacia_planks
dark_oak_planks,dark_oak_planks
dark_oak_slab,dark_oak_planks
dark_oak_stairs,dark_oak_planks
mangrove_planks,mangrove_planks
mangrove_slab,mangrove_planks
mangrove_stairs,mangrove_planks
cherry_planks,cherry_planks
cherry_slab,cherry_planks
cherry_stairs,cherry_planks
crimson_planks,crimson_planks
crimson_slab,crimson_planks
crimson_stairs,crimson_planks
warped_planks,warped_planks
warped_slab,warped_planks
warped_stairs,warped_planks
bamboo_planks,bamboo_planks
bamboo_slab,bamboo_planks
bamboo_stairs,bamboo_planks
bamboo_mosaic,bamboo_planks
bamboo_mosaic_slab,bamboo_planks
bamboo_mosaic_stairs,bamboo_planks
